attack_type,security_tools_used,industry
Malware,Antivirus,Healthcare
Ransomware,Antivirus,Transportation
Supply Chain Compromise,SIEM,Government
Supply Chain Compromise,EDR,Retail
Brute Force,MFA,Technology
Malware,Antivirus,Healthcare
DDoS,CDN Scrubbing,Manufacturing
Ransomware,EDR,Education
Phishing,Email Filtering,Technology
Phishing,MFA,Healthcare
Phishing,DMARC,Healthcare
Phishing,MFA,Finance
Malware,Antivirus,Manufacturing
Business Email Compromise,DMARC,Energy
Ransomware,Antivirus,Government
DDoS,Firewall,Retail
Ransomware,Offline Backups,Technology
Phishing,MFA,Retail
Ransomware,SIEM,Finance
Ransomware,Offline Backups,Retail
Credential Stuffing,Account Lockout,Manufacturing
Credential Stuffing,MFA,Technology
Phishing,DMARC,Manufacturing
DDoS,Firewall,Finance
Cross-Site Scripting,Content Security Policy,Healthcare
Brute Force,Account Lockout,Manufacturing
Credential Stuffing,MFA,Manufacturing
Credential Stuffing,Account Lockout,Finance
Credential Stuffing,MFA,Manufacturing
Phishing,Email Filtering,Education
DDoS,DDoS Mitigation,Finance
Phishing,Email Filtering,Healthcare
Ransomware,Antivirus,Finance
Malware,EDR,Manufacturing
DDoS,WAF,Transportation
Supply Chain Compromise,EDR,Technology
Brute Force,Account Lockout,Government
Ransomware,EDR,Manufacturing
Brute Force,MFA,Technology
Credential Stuffing,Account Lockout,Finance
DDoS,Firewall,Transportation
Phishing,MFA,Finance
Ransomware,EDR,Technology
DDoS,CDN Scrubbing,Healthcare
Brute Force,Account Lockout,Healthcare
Zero-Day Exploit,SIEM,Finance
Supply Chain Compromise,IDS,Technology
Brute Force,MFA,Manufacturing
Phishing,MFA,Energy
Brute Force,MFA,Education
DDoS,Firewall,Manufacturing
Ransomware,EDR,Finance
Credential Stuffing,MFA,Manufacturing
SQL Injection,SIEM,Retail
Ransomware,EDR,Healthcare
Brute Force,MFA,Retail
Zero-Day Exploit,EDR,Government
Business Email Compromise,SIEM,Government
Ransomware,SIEM,Manufacturing
Business Email Compromise,DMARC,Education
DDoS,DDoS Mitigation,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,DMARC,Finance
Phishing,Email Filtering,Technology
Phishing,MFA,Energy
Brute Force,MFA,Energy
Phishing,MFA,Healthcare
Business Email Compromise,Email Filtering,Transportation
Credential Stuffing,MFA,Healthcare
Insider Threat,IDS,Finance
Ransomware,Antivirus,Healthcare
Phishing,DMARC,Transportation
Credential Stuffing,Account Lockout,Manufacturing
Phishing,MFA,Manufacturing
Phishing,Email Filtering,Technology
Cross-Site Scripting,Content Security Policy,Utilities
Phishing,SIEM,Education
Malware,EDR,Government
Brute Force,SIEM,Education
DDoS,DDoS Mitigation,Education
SQL Injection,WAF,Finance
Phishing,Email Filtering,Healthcare
Brute Force,Account Lockout,Government
DDoS,DDoS Mitigation,Retail
Phishing,Email Filtering,Technology
Brute Force,SIEM,Manufacturing
DDoS,WAF,Government
Phishing,Email Filtering,Healthcare
Cross-Site Scripting,WAF,Transportation
Supply Chain Compromise,IDS,Healthcare
DDoS,WAF,Manufacturing
Brute Force,Account Lockout,Energy
Brute Force,MFA,Manufacturing
Insider Threat,SIEM,Manufacturing
Credential Stuffing,MFA,Finance
Ransomware,EDR,Education
Ransomware,Antivirus,Manufacturing
SQL Injection,WAF,Healthcare
DDoS,CDN Scrubbing,Government
Ransomware,Antivirus,Utilities
Business Email Compromise,MFA,Finance
Business Email Compromise,DMARC,Manufacturing
Phishing,Email Filtering,Manufacturing
Ransomware,EDR,Healthcare
Phishing,Email Filtering,Manufacturing
DDoS,DDoS Mitigation,Retail
Brute Force,Account Lockout,Manufacturing
DDoS,Firewall,Finance
Ransomware,Antivirus,Retail
Business Email Compromise,Email Filtering,Finance
Brute Force,Account Lockout,Manufacturing
Business Email Compromise,Email Filtering,Energy
SQL Injection,Database Firewall,Retail
Phishing,MFA,Government
DDoS,Firewall,Manufacturing
Malware,Antivirus,Manufacturing
Zero-Day Exploit,EDR,Education
Cross-Site Scripting,WAF,Technology
Credential Stuffing,MFA,Healthcare
SQL Injection,Database Firewall,Technology
Ransomware,SIEM,Retail
Ransomware,EDR,Transportation
Business Email Compromise,SIEM,Healthcare
Phishing,DMARC,Education
Phishing,MFA,Manufacturing
Ransomware,EDR,Finance
Ransomware,EDR,Retail
Business Email Compromise,MFA,Manufacturing
DDoS,WAF,Manufacturing
Malware,EDR,Technology
SQL Injection,WAF,Transportation
Phishing,MFA,Finance
Malware,EDR,Transportation
SQL Injection,SIEM,Energy
Brute Force,Account Lockout,Technology
Phishing,DMARC,Government
Credential Stuffing,MFA,Manufacturing
Phishing,DMARC,Manufacturing
Brute Force,SIEM,Energy
Ransomware,EDR,Government
Zero-Day Exploit,SIEM,Healthcare
Cross-Site Scripting,Content Security Policy,Finance
Brute Force,MFA,Finance
Brute Force,SIEM,Energy
Phishing,DMARC,Finance
Phishing,Email Filtering,Technology
DDoS,WAF,Technology
Phishing,Email Filtering,Technology
Malware,Antivirus,Retail
Credential Stuffing,MFA,Energy
Zero-Day Exploit,EDR,Technology
Ransomware,Offline Backups,Healthcare
DDoS,CDN Scrubbing,Healthcare
DDoS,DDoS Mitigation,Government
Business Email Compromise,Email Filtering,Energy
Brute Force,Account Lockout,Manufacturing
Cross-Site Scripting,WAF,Manufacturing
Ransomware,Antivirus,Finance
Ransomware,Offline Backups,Manufacturing
Ransomware,EDR,Energy
Ransomware,EDR,Healthcare
Business Email Compromise,Email Filtering,Manufacturing
Malware,Antivirus,Education
DDoS,WAF,Manufacturing
Credential Stuffing,Account Lockout,Healthcare
Supply Chain Compromise,Offline Backups,Manufacturing
Supply Chain Compromise,SIEM,Manufacturing
DDoS,WAF,Manufacturing
Business Email Compromise,DMARC,Manufacturing
Brute Force,Account Lockout,Manufacturing
Phishing,MFA,Manufacturing
Supply Chain Compromise,SIEM,Finance
Credential Stuffing,MFA,Retail
Phishing,MFA,Technology
Insider Threat,SIEM,Healthcare
Phishing,MFA,Finance
DDoS,DDoS Mitigation,Education
Zero-Day Exploit,EDR,Energy
Insider Threat,EDR,Manufacturing
Brute Force,MFA,Manufacturing
Business Email Compromise,MFA,Healthcare
Ransomware,Antivirus,Healthcare
Zero-Day Exploit,IDS,Finance
Phishing,DMARC,Technology
Credential Stuffing,MFA,Manufacturing
Phishing,MFA,Technology
SQL Injection,WAF,Finance
Phishing,MFA,Manufacturing
Credential Stuffing,MFA,Energy
Ransomware,Antivirus,Manufacturing
Ransomware,Offline Backups,Education
Phishing,Email Filtering,Manufacturing
Credential Stuffing,MFA,Energy
Phishing,MFA,Education
Credential Stuffing,MFA,Utilities
Malware,Antivirus,Energy
Ransomware,SIEM,Government
Brute Force,Account Lockout,Retail
Ransomware,Antivirus,Government
Ransomware,Antivirus,Manufacturing
Credential Stuffing,MFA,Finance
Phishing,Email Filtering,Finance
Phishing,Email Filtering,Energy
Business Email Compromise,DMARC,Technology
Malware,Antivirus,Technology
Business Email Compromise,DMARC,Retail
DDoS,DDoS Mitigation,Healthcare
Ransomware,Antivirus,Manufacturing
Supply Chain Compromise,Firewall,Technology
Phishing,SIEM,Technology
Business Email Compromise,Email Filtering,Healthcare
Ransomware,Offline Backups,Technology
Cross-Site Scripting,WAF,Technology
Cross-Site Scripting,WAF,Healthcare
Credential Stuffing,Account Lockout,Technology
Phishing,DMARC,Retail
Cross-Site Scripting,Content Security Policy,Healthcare
SQL Injection,Database Firewall,Transportation
Credential Stuffing,Account Lockout,Education
Brute Force,Account Lockout,Technology
Malware,IDS,Healthcare
Cross-Site Scripting,Content Security Policy,Finance
Ransomware,EDR,Energy
Phishing,MFA,Retail
Phishing,DMARC,Energy
DDoS,DDoS Mitigation,Finance
Insider Threat,Account Lockout,Retail
Cross-Site Scripting,Content Security Policy,Healthcare
Ransomware,SIEM,Government
Brute Force,Account Lockout,Healthcare
Malware,EDR,Retail
Malware,Antivirus,Energy
Ransomware,EDR,Manufacturing
DDoS,Firewall,Finance
Malware,EDR,Manufacturing
Zero-Day Exploit,IDS,Government
Ransomware,EDR,Manufacturing
Malware,Antivirus,Transportation
Phishing,MFA,Manufacturing
Cross-Site Scripting,WAF,Transportation
Supply Chain Compromise,EDR,Energy
Supply Chain Compromise,IDS,Finance
Ransomware,Offline Backups,Government
Malware,Antivirus,Government
Credential Stuffing,Account Lockout,Transportation
Supply Chain Compromise,SIEM,Healthcare
Phishing,Email Filtering,Finance
Cross-Site Scripting,Content Security Policy,Manufacturing
Malware,Antivirus,Finance
DDoS,DDoS Mitigation,Manufacturing
DDoS,Firewall,Finance
Ransomware,EDR,Finance
Malware,Antivirus,Technology
SQL Injection,WAF,Finance
Zero-Day Exploit,SIEM,Government
Ransomware,EDR,Government
Ransomware,EDR,Finance
Phishing,MFA,Finance
DDoS,DDoS Mitigation,Transportation
Business Email Compromise,DMARC,Manufacturing
Malware,IDS,Manufacturing
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,Antivirus,Retail
Ransomware,Offline Backups,Technology
Credential Stuffing,SIEM,Government
Malware,EDR,Retail
DDoS,DDoS Mitigation,Healthcare
Credential Stuffing,MFA,Education
Ransomware,Antivirus,Government
DDoS,Firewall,Healthcare
Business Email Compromise,MFA,Technology
Phishing,MFA,Healthcare
Business Email Compromise,Email Filtering,Manufacturing
Phishing,MFA,Manufacturing
Malware,Antivirus,Transportation
Business Email Compromise,DMARC,Technology
Business Email Compromise,Email Filtering,Technology
Cross-Site Scripting,WAF,Government
Phishing,DMARC,Finance
Credential Stuffing,MFA,Transportation
Phishing,MFA,Government
Malware,EDR,Technology
Ransomware,Offline Backups,Technology
Business Email Compromise,DMARC,Utilities
Credential Stuffing,MFA,Retail
Brute Force,MFA,Transportation
Ransomware,SIEM,Manufacturing
Brute Force,Account Lockout,Energy
Credential Stuffing,MFA,Retail
Ransomware,EDR,Manufacturing
Ransomware,Offline Backups,Finance
Cross-Site Scripting,Content Security Policy,Retail
DDoS,DDoS Mitigation,Manufacturing
Zero-Day Exploit,EDR,Technology
Phishing,MFA,Energy
Insider Threat,EDR,Healthcare
Phishing,Email Filtering,Technology
Malware,Antivirus,Technology
Phishing,DMARC,Healthcare
Malware,EDR,Education
Cross-Site Scripting,WAF,Government
Ransomware,Antivirus,Manufacturing
Brute Force,Account Lockout,Utilities
SQL Injection,WAF,Education
Malware,Antivirus,Healthcare
Zero-Day Exploit,IDS,Energy
Cross-Site Scripting,Content Security Policy,Manufacturing
Zero-Day Exploit,IDS,Utilities
Malware,Antivirus,Retail
Zero-Day Exploit,IDS,Retail
Phishing,MFA,Manufacturing
Zero-Day Exploit,SIEM,Education
Malware,EDR,Manufacturing
Phishing,MFA,Healthcare
Brute Force,Account Lockout,Manufacturing
Business Email Compromise,Email Filtering,Government
Malware,Antivirus,Manufacturing
Ransomware,EDR,Education
Brute Force,Account Lockout,Retail
Phishing,IDS,Manufacturing
Brute Force,Account Lockout,Manufacturing
SQL Injection,Database Firewall,Manufacturing
DDoS,CDN Scrubbing,Finance
DDoS,Firewall,Energy
Credential Stuffing,MFA,Healthcare
Phishing,MFA,Energy
DDoS,CDN Scrubbing,Manufacturing
Ransomware,EDR,Energy
Credential Stuffing,Account Lockout,Education
Malware,Antivirus,Government
Malware,IDS,Retail
Ransomware,Antivirus,Energy
DDoS,Firewall,Manufacturing
Phishing,Email Filtering,Healthcare
Business Email Compromise,Email Filtering,Manufacturing
Phishing,Email Filtering,Finance
Business Email Compromise,Email Filtering,Government
Ransomware,EDR,Retail
Cross-Site Scripting,SIEM,Energy
DDoS,CDN Scrubbing,Manufacturing
Malware,EDR,Government
Brute Force,MFA,Manufacturing
Phishing,Email Filtering,Healthcare
Supply Chain Compromise,IDS,Retail
Brute Force,MFA,Utilities
Zero-Day Exploit,Firewall,Finance
Supply Chain Compromise,Firewall,Manufacturing
Phishing,DMARC,Finance
Supply Chain Compromise,IDS,Manufacturing
Malware,EDR,Education
DDoS,DDoS Mitigation,Retail
Credential Stuffing,Account Lockout,Manufacturing
Phishing,MFA,Manufacturing
Phishing,SIEM,Manufacturing
Phishing,IDS,Utilities
Ransomware,Offline Backups,Technology
Brute Force,SIEM,Government
SQL Injection,Database Firewall,Retail
Phishing,Email Filtering,Finance
Brute Force,MFA,Manufacturing
Malware,IDS,Transportation
Credential Stuffing,MFA,Healthcare
Malware,Antivirus,Finance
Phishing,DMARC,Retail
Ransomware,Antivirus,Retail
Credential Stuffing,Account Lockout,Transportation
DDoS,CDN Scrubbing,Manufacturing
Cross-Site Scripting,WAF,Finance
Malware,Antivirus,Technology
DDoS,DDoS Mitigation,Technology
Supply Chain Compromise,IDS,Manufacturing
SQL Injection,Database Firewall,Manufacturing
Phishing,Email Filtering,Healthcare
Supply Chain Compromise,SIEM,Healthcare
Credential Stuffing,MFA,Technology
Malware,Antivirus,Finance
Brute Force,MFA,Retail
Malware,Antivirus,Technology
Cross-Site Scripting,Content Security Policy,Technology
DDoS,CDN Scrubbing,Healthcare
Cross-Site Scripting,SIEM,Finance
Ransomware,EDR,Healthcare
Supply Chain Compromise,EDR,Manufacturing
Ransomware,EDR,Technology
Malware,EDR,Technology
Ransomware,Antivirus,Healthcare
Phishing,DMARC,Finance
Phishing,MFA,Finance
Phishing,MFA,Retail
Cross-Site Scripting,WAF,Retail
Phishing,Email Filtering,Retail
Cross-Site Scripting,Content Security Policy,Healthcare
Business Email Compromise,Email Filtering,Government
Credential Stuffing,MFA,Finance
Phishing,Email Filtering,Technology
Brute Force,SIEM,Retail
Supply Chain Compromise,SIEM,Technology
Brute Force,Account Lockout,Finance
Ransomware,Offline Backups,Government
Malware,Antivirus,Education
Credential Stuffing,MFA,Education
Malware,Antivirus,Finance
Ransomware,Antivirus,Finance
Brute Force,MFA,Government
Zero-Day Exploit,SIEM,Healthcare
Ransomware,Offline Backups,Energy
Supply Chain Compromise,SIEM,Finance
Brute Force,Account Lockout,Manufacturing
Brute Force,Account Lockout,Manufacturing
Supply Chain Compromise,IDS,Energy
Credential Stuffing,Account Lockout,Manufacturing
Malware,EDR,Healthcare
Supply Chain Compromise,IDS,Healthcare
Malware,EDR,Manufacturing
Phishing,Email Filtering,Healthcare
Cross-Site Scripting,WAF,Government
Business Email Compromise,DMARC,Manufacturing
Malware,IDS,Energy
Cross-Site Scripting,Content Security Policy,Energy
Ransomware,Antivirus,Technology
Zero-Day Exploit,EDR,Manufacturing
Phishing,DMARC,Finance
Ransomware,EDR,Manufacturing
Ransomware,EDR,Technology
SQL Injection,Database Firewall,Transportation
Phishing,Email Filtering,Utilities
Phishing,IDS,Government
Brute Force,Account Lockout,Healthcare
Credential Stuffing,IDS,Retail
DDoS,CDN Scrubbing,Retail
DDoS,DDoS Mitigation,Technology
Supply Chain Compromise,Firewall,Retail
Zero-Day Exploit,IDS,Manufacturing
Phishing,DMARC,Healthcare
Phishing,Email Filtering,Finance
Phishing,MFA,Manufacturing
SQL Injection,WAF,Manufacturing
DDoS,DDoS Mitigation,Energy
Credential Stuffing,Account Lockout,Utilities
Malware,Antivirus,Finance
DDoS,DDoS Mitigation,Energy
Credential Stuffing,Account Lockout,Utilities
DDoS,DDoS Mitigation,Manufacturing
Phishing,Email Filtering,Technology
DDoS,DDoS Mitigation,Technology
SQL Injection,Database Firewall,Manufacturing
SQL Injection,WAF,Government
Phishing,Email Filtering,Technology
Credential Stuffing,Account Lockout,Technology
Zero-Day Exploit,SIEM,Manufacturing
Credential Stuffing,IDS,Manufacturing
Phishing,DMARC,Education
Credential Stuffing,MFA,Manufacturing
DDoS,CDN Scrubbing,Healthcare
Supply Chain Compromise,EDR,Healthcare
Cross-Site Scripting,Content Security Policy,Finance
DDoS,DDoS Mitigation,Finance
Malware,SIEM,Finance
Phishing,MFA,Manufacturing
Ransomware,Offline Backups,Healthcare
Credential Stuffing,MFA,Energy
Credential Stuffing,IDS,Retail
Ransomware,Offline Backups,Retail
Business Email Compromise,Email Filtering,Retail
Ransomware,EDR,Government
Credential Stuffing,IDS,Manufacturing
DDoS,DDoS Mitigation,Technology
Cross-Site Scripting,Content Security Policy,Finance
Phishing,MFA,Healthcare
Malware,SIEM,Energy
Cross-Site Scripting,WAF,Technology
Credential Stuffing,Account Lockout,Government
Malware,EDR,Energy
Phishing,DMARC,Finance
Ransomware,EDR,Education
Ransomware,EDR,Finance
Malware,Antivirus,Energy
DDoS,DDoS Mitigation,Healthcare
Brute Force,MFA,Finance
SQL Injection,WAF,Finance
Phishing,MFA,Manufacturing
Credential Stuffing,SIEM,Technology
Business Email Compromise,SIEM,Education
Cross-Site Scripting,Content Security Policy,Retail
Zero-Day Exploit,IDS,Manufacturing
Ransomware,EDR,Healthcare
Brute Force,MFA,Manufacturing
Malware,Antivirus,Manufacturing
Malware,Antivirus,Education
Supply Chain Compromise,EDR,Technology
Ransomware,Antivirus,Healthcare
Malware,Antivirus,Finance
SQL Injection,WAF,Manufacturing
SQL Injection,Database Firewall,Healthcare
Credential Stuffing,SIEM,Retail
Credential Stuffing,Account Lockout,Retail
Phishing,MFA,Utilities
Ransomware,EDR,Retail
DDoS,Firewall,Technology
Ransomware,SIEM,Government
Malware,EDR,Education
Phishing,DMARC,Government
Malware,Antivirus,Transportation
DDoS,Firewall,Government
SQL Injection,WAF,Energy
DDoS,CDN Scrubbing,Manufacturing
Ransomware,EDR,Government
Business Email Compromise,Email Filtering,Technology
Brute Force,MFA,Finance
Insider Threat,SIEM,Retail
Phishing,MFA,Transportation
Phishing,Email Filtering,Utilities
DDoS,DDoS Mitigation,Healthcare
Malware,EDR,Government
Credential Stuffing,Account Lockout,Government
Phishing,MFA,Healthcare
Phishing,Email Filtering,Manufacturing
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,EDR,Government
Malware,EDR,Technology
Credential Stuffing,SIEM,Utilities
Phishing,MFA,Technology
DDoS,CDN Scrubbing,Utilities
Phishing,DMARC,Technology
Zero-Day Exploit,SIEM,Government
Ransomware,Offline Backups,Manufacturing
Brute Force,MFA,Finance
Malware,IDS,Energy
Brute Force,MFA,Education
Brute Force,MFA,Energy
Brute Force,MFA,Manufacturing
Credential Stuffing,MFA,Technology
Phishing,MFA,Manufacturing
SQL Injection,WAF,Manufacturing
Credential Stuffing,IDS,Retail
Credential Stuffing,Account Lockout,Retail
Credential Stuffing,Account Lockout,Government
Cross-Site Scripting,WAF,Energy
Brute Force,SIEM,Government
Phishing,MFA,Energy
Zero-Day Exploit,EDR,Manufacturing
SQL Injection,WAF,Healthcare
Phishing,Email Filtering,Retail
SQL Injection,WAF,Energy
Malware,Antivirus,Manufacturing
Business Email Compromise,DMARC,Finance
SQL Injection,Database Firewall,Retail
Ransomware,EDR,Manufacturing
Phishing,Email Filtering,Technology
Cross-Site Scripting,Content Security Policy,Education
Supply Chain Compromise,EDR,Retail
Cross-Site Scripting,WAF,Healthcare
SQL Injection,Database Firewall,Energy
Business Email Compromise,DMARC,Healthcare
SQL Injection,WAF,Energy
Supply Chain Compromise,SIEM,Healthcare
Ransomware,EDR,Finance
SQL Injection,WAF,Technology
DDoS,Firewall,Healthcare
Phishing,DMARC,Education
Credential Stuffing,MFA,Manufacturing
Ransomware,Offline Backups,Manufacturing
Credential Stuffing,SIEM,Healthcare
Phishing,DMARC,Retail
Phishing,SIEM,Energy
Ransomware,Antivirus,Utilities
Phishing,DMARC,Healthcare
Supply Chain Compromise,Offline Backups,Technology
Ransomware,EDR,Manufacturing
Brute Force,MFA,Finance
Malware,Antivirus,Utilities
Ransomware,EDR,Retail
SQL Injection,SIEM,Finance
Business Email Compromise,Email Filtering,Technology
Credential Stuffing,MFA,Education
Ransomware,Offline Backups,Finance
Cross-Site Scripting,Content Security Policy,Manufacturing
Credential Stuffing,MFA,Technology
Supply Chain Compromise,IDS,Manufacturing
Cross-Site Scripting,Content Security Policy,Healthcare
Ransomware,Antivirus,Manufacturing
Phishing,MFA,Technology
SQL Injection,WAF,Retail
Ransomware,EDR,Healthcare
DDoS,DDoS Mitigation,Technology
Phishing,DMARC,Transportation
Phishing,MFA,Government
Credential Stuffing,MFA,Finance
Ransomware,Antivirus,Healthcare
Credential Stuffing,Account Lockout,Education
Credential Stuffing,Account Lockout,Healthcare
Brute Force,SIEM,Healthcare
Phishing,MFA,Education
Malware,EDR,Finance
Ransomware,EDR,Government
Ransomware,Offline Backups,Finance
Malware,EDR,Retail
Zero-Day Exploit,SIEM,Healthcare
SQL Injection,WAF,Healthcare
DDoS,Firewall,Healthcare
Zero-Day Exploit,EDR,Manufacturing
Ransomware,Offline Backups,Education
SQL Injection,Database Firewall,Healthcare
Phishing,SIEM,Finance
Phishing,MFA,Government
Malware,Antivirus,Government
SQL Injection,WAF,Technology
DDoS,DDoS Mitigation,Technology
Ransomware,EDR,Utilities
Business Email Compromise,MFA,Retail
Ransomware,EDR,Energy
Ransomware,SIEM,Education
Phishing,DMARC,Government
Business Email Compromise,DMARC,Manufacturing
Phishing,MFA,Finance
SQL Injection,WAF,Manufacturing
Credential Stuffing,MFA,Retail
Ransomware,Antivirus,Transportation
Credential Stuffing,SIEM,Finance
Ransomware,Antivirus,Technology
Ransomware,EDR,Manufacturing
Cross-Site Scripting,WAF,Transportation
Zero-Day Exploit,EDR,Manufacturing
Phishing,MFA,Manufacturing
Phishing,IDS,Healthcare
Brute Force,Account Lockout,Manufacturing
SQL Injection,Database Firewall,Technology
DDoS,CDN Scrubbing,Finance
Credential Stuffing,MFA,Healthcare
Credential Stuffing,Account Lockout,Manufacturing
Zero-Day Exploit,IDS,Manufacturing
Credential Stuffing,Account Lockout,Technology
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,Antivirus,Retail
SQL Injection,Database Firewall,Healthcare
Malware,SIEM,Healthcare
SQL Injection,WAF,Technology
DDoS,DDoS Mitigation,Technology
SQL Injection,WAF,Manufacturing
Brute Force,SIEM,Manufacturing
Malware,IDS,Energy
Credential Stuffing,SIEM,Manufacturing
Ransomware,EDR,Finance
Phishing,Email Filtering,Technology
Business Email Compromise,DMARC,Healthcare
Ransomware,EDR,Technology
Brute Force,MFA,Government
Zero-Day Exploit,EDR,Energy
Ransomware,Offline Backups,Healthcare
Phishing,MFA,Healthcare
Cross-Site Scripting,Content Security Policy,Healthcare
DDoS,Firewall,Technology
SQL Injection,WAF,Retail
Ransomware,Offline Backups,Healthcare
Phishing,MFA,Healthcare
Cross-Site Scripting,WAF,Transportation
Zero-Day Exploit,Firewall,Manufacturing
Brute Force,MFA,Technology
Cross-Site Scripting,WAF,Retail
Credential Stuffing,IDS,Manufacturing
Credential Stuffing,MFA,Manufacturing
Ransomware,Offline Backups,Manufacturing
DDoS,CDN Scrubbing,Education
SQL Injection,SIEM,Manufacturing
Ransomware,EDR,Manufacturing
Ransomware,Antivirus,Manufacturing
DDoS,DDoS Mitigation,Manufacturing
Credential Stuffing,MFA,Retail
Supply Chain Compromise,SIEM,Healthcare
Credential Stuffing,MFA,Finance
Supply Chain Compromise,EDR,Finance
Phishing,Email Filtering,Energy
Malware,Antivirus,Manufacturing
Brute Force,SIEM,Energy
Phishing,MFA,Finance
DDoS,DDoS Mitigation,Manufacturing
Phishing,DMARC,Government
Phishing,DMARC,Energy
Phishing,DMARC,Healthcare
Ransomware,Antivirus,Education
Credential Stuffing,MFA,Technology
Business Email Compromise,Email Filtering,Finance
Supply Chain Compromise,SIEM,Utilities
Credential Stuffing,MFA,Technology
Cross-Site Scripting,WAF,Energy
Cross-Site Scripting,Content Security Policy,Healthcare
Ransomware,Offline Backups,Government
Credential Stuffing,MFA,Finance
Cross-Site Scripting,WAF,Healthcare
Credential Stuffing,MFA,Technology
Phishing,Email Filtering,Healthcare
Ransomware,Antivirus,Manufacturing
DDoS,DDoS Mitigation,Manufacturing
Credential Stuffing,Account Lockout,Healthcare
Credential Stuffing,MFA,Manufacturing
Phishing,DMARC,Manufacturing
Credential Stuffing,Account Lockout,Government
SQL Injection,WAF,Retail
SQL Injection,SIEM,Government
Brute Force,MFA,Healthcare
Malware,SIEM,Education
Malware,IDS,Finance
Ransomware,EDR,Manufacturing
Credential Stuffing,Account Lockout,Manufacturing
Supply Chain Compromise,EDR,Retail
Phishing,Email Filtering,Manufacturing
SQL Injection,WAF,Finance
Ransomware,SIEM,Utilities
